="Het:dum_solid_lib1==1|i=1|X:DRobot_exp_all1995|Y:turnout|Grp:depvars"

="Het:dum_competitive2==1|i=1|X:DRobot_exp_all1995|Y:d_turnout|Grp:depvars_dif"

="",="(1)"
="",="dum_competitive2==1"

="DRobot_exp_all1995",="0.018***"
="",="(0.004)"

="N",="453.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib1==1|i=1|X:DRobot_exp_all1995|Y:d_conserv1_p|Grp:depvars_dif"

="",="(1)"
="",="dum_solid_lib1==1"

="DRobot_exp_all1995",="-0.004*"
="",="(0.002)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_con1==1|i=1|X:DRobot_exp_all1995|Y:d_conserv1_p|Grp:depvars_dif"

="",="(1)"
="",="dum_solid_con1==1"

="DRobot_exp_all1995",="-0.008"
="",="(0.007)"

="N",="153.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_competitive1==1|i=1|X:DRobot_exp_all1995|Y:d_conserv1_p|Grp:depvars_dif"

="",="(1)"
="",="dum_competitive1==1"

="DRobot_exp_all1995",="-0.038***"
="",="(0.011)"

="N",="402.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib2==1|i=1|X:DRobot_exp_all1995|Y:d_conserv2_p|Grp:depvars_dif"

="",="(1)"
="",="dum_solid_lib2==1"

="DRobot_exp_all1995",="-0.000"
="",="(0.003)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_con2==1|i=1|X:DRobot_exp_all1995|Y:d_conserv2_p|Grp:depvars_dif"

="",="(1)"
="",="dum_solid_con2==1"

="DRobot_exp_all1995",="-0.023***"
="",="(0.007)"

="N",="102.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_competitive2==1|i=1|X:DRobot_exp_all1995|Y:d_conserv2_p|Grp:depvars_dif"

="",="(1)"
="",="dum_competitive2==1"

="DRobot_exp_all1995",="-0.005"
="",="(0.008)"

="N",="453.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib1==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_lib1==1"

="DRobot_exp_all1995",="0.008*"
="",="(0.004)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_con1==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_con1==1"

="DRobot_exp_all1995",="0.009***"
="",="(0.003)"

="N",="153.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_competitive1==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_competitive1==1"

="DRobot_exp_all1995",="0.004**"
="",="(0.002)"

="N",="402.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib2==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_lib2==1"

="DRobot_exp_all1995",="0.008*"
="",="(0.004)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_con2==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_con2==1"

="DRobot_exp_all1995",="0.007**"
="",="(0.003)"

="N",="102.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_competitive2==1|i=1|X:DRobot_exp_all1995|Y:ld_turnout_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_competitive2==1"

="DRobot_exp_all1995",="0.007***"
="",="(0.002)"

="N",="453.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib1==1|i=1|X:DRobot_exp_all1995|Y:ld_conserv1_p_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_lib1==1"

="DRobot_exp_all1995",="-0.005*"
="",="(0.003)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_con1==1|i=1|X:DRobot_exp_all1995|Y:ld_conserv1_p_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_con1==1"

="DRobot_exp_all1995",="0.002"
="",="(0.005)"

="N",="153.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_competitive1==1|i=1|X:DRobot_exp_all1995|Y:ld_conserv1_p_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_competitive1==1"

="DRobot_exp_all1995",="-0.005"
="",="(0.004)"

="N",="402.000"
="R2 within",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
="Het:dum_solid_lib2==1|i=1|X:DRobot_exp_all1995|Y:ld_conserv2_p_2007|Grp:depvars_longdif"

="",="(1)"
="",="dum_solid_lib2==1"

="DRobot_exp_all1995",="-0.003"
="",="(0.002)"

="N",="123.000"
="R2 within",=""

="Standard errors in parentheses"
